Wikidata_URI15	id	city_name	DBpedia_URI	rating	label	DBpedia_URI15	YAGO_URI15
http://www.wikidata.org/entity/Q24639	1.0	Vancouver	http://dbpedia.org/resource/Vancouver	106.0	high	http://dbpedia.org/resource/Vancouver	http://yago-knowledge.org/resource/Vancouver
http://www.wikidata.org/entity/Q72	2.0	Zurich	http://dbpedia.org/resource/Zurich	106.0	high	http://dbpedia.org/resource/Zürich	
http://www.wikidata.org/entity/Q1741	3.0	Vienna	http://dbpedia.org/resource/Vienna	106.0	high	http://dbpedia.org/resource/Vienna	http://yago-knowledge.org/resource/Vienna
http://www.wikidata.org/entity/Q70	4.0	Bern	http://dbpedia.org/resource/Bern	106.0	high	http://dbpedia.org/resource/Bern	http://yago-knowledge.org/resource/Bern
http://www.wikidata.org/entity/Q3130	5.0	Sydney	http://dbpedia.org/resource/Sydney	105.5	high	http://dbpedia.org/resource/Sydney	http://yago-knowledge.org/resource/Sydney
http://www.wikidata.org/entity/Q71	6.0	Geneva	http://dbpedia.org/resource/Geneva	105.5	high	http://dbpedia.org/resource/Geneva	http://yago-knowledge.org/resource/Geneva
http://www.wikidata.org/entity/Q37100	7.0	Auckland	http://dbpedia.org/resource/Auckland	105.5	high	http://dbpedia.org/resource/Auckland	http://yago-knowledge.org/resource/Auckland
http://www.wikidata.org/entity/Q1748	8.0	Copenhagen	http://dbpedia.org/resource/Copenhagen	105.5	high	http://dbpedia.org/resource/Copenhagen	http://yago-knowledge.org/resource/Copenhagen
http://www.wikidata.org/entity/Q1757	9.0	Helsinki	http://dbpedia.org/resource/Helsinki	104.5	high	http://dbpedia.org/resource/Helsinki	http://yago-knowledge.org/resource/Helsinki
http://www.wikidata.org/entity/Q727	10.0	Amsterdam	http://dbpedia.org/resource/Amsterdam	104.5	high	http://dbpedia.org/resource/Amsterdam	http://yago-knowledge.org/resource/Amsterdam
http://www.wikidata.org/entity/Q1794	11.0	Frankfurt	http://dbpedia.org/resource/Frankfurt	104.0	high	http://dbpedia.org/resource/Frankfurt	http://yago-knowledge.org/resource/Frankfurt
http://www.wikidata.org/entity/Q1726	12.0	Munich	http://dbpedia.org/resource/Munich	104.0	high	http://dbpedia.org/resource/Munich	http://yago-knowledge.org/resource/Munich
http://www.wikidata.org/entity/Q3141	13.0	Melbourne	http://dbpedia.org/resource/Melbourne	104.0	high	http://dbpedia.org/resource/Melbourne	http://yago-knowledge.org/resource/Melbourne
http://www.wikidata.org/entity/Q18094	14.0	Honolulu	http://dbpedia.org/resource/Honolulu	104.0	high	http://dbpedia.org/resource/Honolulu	http://yago-knowledge.org/resource/Honolulu
http://www.wikidata.org/entity/Q1718	15.0	Dusseldorf	http://dbpedia.org/resource/Dusseldorf	103.5	high	http://dbpedia.org/resource/Düsseldorf	
http://www.wikidata.org/entity/Q62	16.0	San Francisco	http://dbpedia.org/resource/San_Francisco	103.5	high	http://dbpedia.org/resource/San_Francisco	http://yago-knowledge.org/resource/San_Francisco
http://www.wikidata.org/entity/Q585	17.0	Oslo	http://dbpedia.org/resource/Oslo	103.5	high	http://dbpedia.org/resource/Oslo	http://yago-knowledge.org/resource/Oslo
http://www.wikidata.org/entity/Q3183	18.0	Perth	http://dbpedia.org/resource/Perth	103.5	high	http://dbpedia.org/resource/Perth	
http://www.wikidata.org/entity/Q240	19.0	Brussels	http://dbpedia.org/resource/Brussels	103.5	high	http://dbpedia.org/resource/Brussels	http://yago-knowledge.org/resource/Brussels
http://www.wikidata.org/entity/Q172	20.0	Toronto	http://dbpedia.org/resource/Toronto	103.5	high	http://dbpedia.org/resource/Toronto	http://yago-knowledge.org/resource/Toronto
http://www.wikidata.org/entity/Q5112	21.0	Adelaide	http://dbpedia.org/resource/Adelaide	103.0	high	http://dbpedia.org/resource/Adelaide	http://yago-knowledge.org/resource/Adelaide
http://www.wikidata.org/entity/Q32	22.0	Luxembourg	http://dbpedia.org/resource/Luxembourg	103.0	high	http://dbpedia.org/resource/Luxembourg	http://yago-knowledge.org/resource/Luxembourg
http://www.wikidata.org/entity/Q1754	23.0	Stockholm	http://dbpedia.org/resource/Stockholm	103.0	high	http://dbpedia.org/resource/Stockholm	http://yago-knowledge.org/resource/Stockholm
http://www.wikidata.org/entity/Q90	24.0	Paris	http://dbpedia.org/resource/Paris	102.5	high	http://dbpedia.org/resource/Paris	http://yago-knowledge.org/resource/Paris
http://www.wikidata.org/entity/Q2090	25.0	Nurnberg	http://dbpedia.org/resource/Nurnberg	102.5	high	http://dbpedia.org/resource/Nuremberg	http://yago-knowledge.org/resource/Nuremberg
http://www.wikidata.org/entity/Q34932	26.0	Brisbane	http://dbpedia.org/resource/Brisbane	102.5	high	http://dbpedia.org/resource/Brisbane	http://yago-knowledge.org/resource/Brisbane
http://www.wikidata.org/entity/Q340	27.0	Montreal	http://dbpedia.org/resource/Montreal	102.5	high	http://dbpedia.org/resource/Montreal	http://yago-knowledge.org/resource/Montreal
http://www.wikidata.org/entity/Q1490	28.0	Tokyo	http://dbpedia.org/resource/Tokyo	102.5	high	http://dbpedia.org/resource/Tokyo	http://yago-knowledge.org/resource/Tokyo
http://www.wikidata.org/entity/Q64	29.0	Berlin	http://dbpedia.org/resource/Berlin	102.0	high	http://dbpedia.org/resource/Berlin	http://yago-knowledge.org/resource/Berlin
http://www.wikidata.org/entity/Q1055	30.0	Hamburg	http://dbpedia.org/resource/Hamburg	102.0	high	http://dbpedia.org/resource/Hamburg	http://yago-knowledge.org/resource/Hamburg
http://www.wikidata.org/entity/Q23661	31.0	Wellington	http://dbpedia.org/resource/Wellington	102.0	high	http://dbpedia.org/resource/Wellington	http://yago-knowledge.org/resource/Wellington
http://www.wikidata.org/entity/Q2910	32.0	Ludwigshafen	http://dbpedia.org/resource/Ludwigshafen	102.0	high	http://dbpedia.org/resource/Ludwigshafen	http://yago-knowledge.org/resource/Ludwigshafen
http://www.wikidata.org/entity/Q456	33.0	Lyon	http://dbpedia.org/resource/Lyon	102.0	high	http://dbpedia.org/resource/Lyon	http://yago-knowledge.org/resource/Lyon
http://www.wikidata.org/entity/Q23556	34.0	Atlanta	http://dbpedia.org/resource/Atlanta	101.5	high	http://dbpedia.org/resource/Atlanta	http://yago-knowledge.org/resource/Atlanta
http://www.wikidata.org/entity/Q84	35.0	London	http://dbpedia.org/resource/London	101.5	high	http://dbpedia.org/resource/London	http://yago-knowledge.org/resource/London
http://www.wikidata.org/entity/Q36312	36.0	Calgary	http://dbpedia.org/resource/Calgary	101.5	high	http://dbpedia.org/resource/Calgary	http://yago-knowledge.org/resource/Calgary
http://www.wikidata.org/entity/Q48320	37.0	Kobe	http://dbpedia.org/resource/Kobe	101.5	high	http://dbpedia.org/resource/Kobe	http://yago-knowledge.org/resource/Kobe
http://www.wikidata.org/entity/Q223886	38.0	Lexington	http://dbpedia.org/resource/Lexington	101.0	high	http://dbpedia.org/resource/Lexington	
http://www.wikidata.org/entity/Q5083	39.0	Seattle	http://dbpedia.org/resource/Seattle	101.0	high	http://dbpedia.org/resource/Seattle	http://yago-knowledge.org/resource/Seattle
http://www.wikidata.org/entity/Q1761	40.0	Dublin	http://dbpedia.org/resource/Dublin	101.0	high	http://dbpedia.org/resource/Dublin	http://yago-knowledge.org/resource/Dublin
